ds,yhat,yhat_lower,yhat_upper
2016-09-15,-834.7218016649897,-8947.438316137761,7506.158530931077
2016-10-03,1948.6437005187327,-6596.761535190675,10127.891510502008
2016-10-04,1894.0456274139783,-6432.817364456749,10224.988639242474
2016-10-05,1059.3957710788713,-7821.063595065645,9016.45888210998
2016-10-06,270.61996770649756,-7969.485717964327,8405.133286302027
2016-10-07,-724.026091582578,-8390.295554702578,7718.199270582742
2016-10-08,-4527.091974139581,-12951.208349716939,4302.151324442225
2016-10-09,-3453.356335096467,-11593.888687606472,4693.283559425239
2016-10-10,2317.0909569688674,-5712.18943649022,10565.588905198088
2016-12-23,3328.8937294426996,-5082.5352251912145,11785.789318757688
2017-01-05,5060.4343016435,-2387.0168797183355,13285.300574017974
2017-01-06,4065.7882423564806,-4568.118297410452,12655.789816201233
2017-01-07,262.72235979838933,-7257.11125589644,8699.0859008271
2017-01-08,1336.4579988347023,-7012.278730968369,9646.724052955551
2017-01-09,7106.905290911193,-997.526119190436,15619.346819336859
2017-01-10,7052.307217809992,-1287.5687057932455,15143.225059047627
2017-01-11,6217.657361471014,-2466.2193635291055,15115.594543949359
2017-01-12,5428.88155810056,-2663.4680317891366,13708.830158720963
2017-01-13,4434.235498809727,-4155.276224313372,12504.03618526981
2017-01-14,631.1696162505677,-7392.972178406463,9326.211393160795
2017-01-15,1704.9052943497813,-6088.486912117428,9825.586858057492
2017-01-16,7475.352625468517,-846.8331527339453,15570.692595168297
2017-01-17,7420.7545914234415,-670.348726025099,15888.937989883518
2017-01-18,6586.104774137853,-1540.475397422827,15376.526895180867
2017-01-19,5797.329009820515,-1876.3311135536435,14152.561439499286
2017-01-20,4802.682989581552,-3547.5183039536296,12768.398997042124
2017-01-21,999.6171460822998,-7536.369495004902,8880.071007191895
2017-01-22,2073.352824151697,-5846.466767561447,9986.390699836777
2017-01-23,7843.800155296101,-215.3229443971576,15842.397295401457
2017-01-24,7789.202121246355,-225.20952498862144,16257.681615134106
2017-01-25,6954.552303962246,-1502.0633626774222,15144.442863073595
2017-01-26,6165.776539642688,-2194.3037714501843,14053.739577649547
2017-01-27,5171.13051940971,-2844.66505899774,13189.814195438274
2017-01-28,1368.0646759021047,-6310.022522279691,10153.490668459164
2017-01-29,2441.800353981883,-5865.718303775112,10830.536486920866
2017-01-30,8212.247685123684,-185.77581378250662,16413.005131803984
2017-01-31,8157.649651069877,-277.9628871647105,16981.6911163062
2017-02-01,7322.999833786541,-874.048890275194,14834.500200496801
2017-02-02,6534.224088631836,-1780.137990609138,14594.760877513276
2017-02-03,5539.578087553869,-3205.106055344144,13767.781758518666
2017-02-04,1736.5122632105813,-6867.497337886875,10245.586291999089
2017-02-05,2810.24796045537,-5797.553960110812,11018.66465369125
2017-02-06,8580.695310749661,110.19880317894713,17100.187811062737
2017-02-07,8526.09729586611,735.2238239100695,17080.934325763865
2017-02-08,7691.44749774445,-1231.2558237306423,15150.808565173398
2017-02-09,6902.671752585816,-1760.9244323444138,15296.707999430699
2017-02-10,5908.025751506243,-2157.041923940914,13806.436245134017
2017-02-11,2104.9599271618863,-5882.095015383,10852.053158241604
2017-02-12,3178.695624407829,-5015.8581336427615,11159.05462194809
2017-02-13,8949.1429747109,1243.1262830532762,17501.427975599025
2017-02-14,8894.544959820523,777.983836483338,16874.32784302448
2017-02-15,8059.89516169823,204.18538726889514,16656.65943193426
2017-02-16,7271.119416542308,-1055.41411145905,16307.898657749667
2017-02-17,6276.473415469372,-1175.497003306257,14480.001100310401
2017-02-18,2473.4075911213768,-5093.6985049009245,10829.344784800447
2017-02-19,3547.1432883695165,-5013.811904077921,12046.792965307479
2017-02-20,9317.590638667833,1146.2620945549943,18062.638736831108
2017-02-21,9262.992626923922,884.9493934785489,18216.915241224957
2017-02-22,8428.342831954105,322.0213141233385,16787.427752444542
2017-02-23,7639.5670899429315,-710.5968723465893,16616.65654018418
2017-02-24,6644.921092014207,-1669.8324124147482,15543.632627331821
2017-02-25,2841.8552708295274,-5631.262032695216,11198.860078375992
2017-02-26,3915.5909712185603,-4281.569067931058,12257.387228381715
2017-02-27,9686.038324669798,1576.5918616971258,18191.622717780756
2017-02-28,9631.440312925286,1212.2370002379064,18325.894774420784
2017-03-01,8796.790517951826,793.6354326492658,16449.019449674044
2017-03-02,8008.014775939794,-321.31632374614014,16003.216635819372
2017-03-03,7013.368778012935,-1346.7103535464178,15054.94068950557
2017-03-04,3210.3029568274587,-4799.228227298218,11446.327166589539
2017-03-05,4284.038657213902,-4088.1645236898635,13133.538455359645
2017-03-06,10054.486010661944,1868.3554262940104,18160.180480775754
2017-03-07,9999.887998925435,2286.124261065383,18476.13776710401
2017-03-08,9165.238203949544,698.4423314831137,17252.165223452754
2017-03-09,8376.46246194168,396.347279431198,17073.139393731974
2017-03-10,7381.81646400819,-1813.9436072554718,15563.564806076507
2017-03-11,3578.7506577620225,-5028.137438161568,12295.294584599636
2017-03-12,4652.48637308707,-3495.636301530196,13004.235841243351
2017-03-13,10422.933741469558,1288.9602409493311,18508.525527052312
2017-03-14,10368.335744667078,1670.9115381558365,18636.672941629182
2017-03-15,9533.685964626935,1437.5477985040877,18193.92100658203
2017-03-16,8744.910237553844,314.81608071536834,16951.612534347754
2017-03-17,7750.2642545657445,-452.5496704009806,15747.772849227857
2017-03-18,3947.1984483114948,-3990.6950820201396,12084.419645610658
